Applied Scholarship,Scholarship Level,Age,Race,Household Income,Field of Study,SPM Result (As),STPM CGPA,A-Level (As),Matriculation CGPA,Foundation CGPA,UG CGPA,Co-curricular Score,Eligibility Status,Application Status
Petronas Education Sponsorship Programme ,UG,19,Indian,"RM97,196",Business and Finance,12,N/A,4,N/A,N/A,N/A,66,Eligible,Accepted
Yayasan Sime Darby Scholarship ,PG,41,Malay,"RM95,046",Law and Social Sciences,12,N/A,N/A,N/A,N/A,3.59,68,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,31,Chinese,"RM19,127",Business and Finance,11,N/A,N/A,N/A,N/A,3.56,34,Eligible,Accepted
Yayasan Sime Darby Scholarship ,UG,24,Chinese,"RM149,129",Sciences,9,3.34,N/A,N/A,N/A,N/A,42,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,18,Indian,"RM38,324",Computer Science and IT,5,N/A,N/A,N/A,3.37,N/A,75,Eligible,Accepted
Yayasan Sime Darby Scholarship ,UG,19,Other,"RM134,200",Engineering,6,N/A,N/A,N/A,3.77,N/A,68,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,21,Chinese,"RM42,936",Computer Science and IT,12,N/A,4,N/A,N/A,N/A,42,Eligible,Accepted
JPA Scholarship,UG,18,Other,"RM78,977",Engineering,11,N/A,N/A,3.83,N/A,N/A,81,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Bumiputera Sabah / Sarawak,"RM42,507",Sciences,9,N/A,N/A,3.13,N/A,N/A,68,Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,30,Indian,"RM116,240",Business and Finance,5,N/A,N/A,N/A,3.92,N/A,72,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,21,Chinese,"RM32,668",Business and Finance,9,N/A,3,N/A,N/A,N/A,83,Eligible,Rejected
MARA Scholarship,UG,44,Malay,"RM88,927",Sciences,12,N/A,N/A,2.86,N/A,N/A,67,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Bumiputera Sabah / Sarawak,"RM50,747",Computer Science and IT,12,N/A,N/A,3.41,N/A,N/A,88,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,28,Indian,"RM15,564",Business and Finance,12,N/A,3,N/A,N/A,N/A,63,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,26,Other,"RM23,577",Computer Science and IT,10,N/A,N/A,N/A,N/A,3.95,54,Eligible,Accepted
Yayasan Khazanah Scholarship ,PG,43,Malay,"RM95,965",Medicine and Health Care,12,N/A,N/A,N/A,N/A,3.79,58,Not Eligible,Rejected
MARA Scholarship,PG,25,Malay,"RM116,946",Medicine and Health Care,10,N/A,N/A,N/A,N/A,3.35,84,Eligible,Accepted
Gamuda Scholarship,UG,19,Other,"RM44,886",Business and Finance,6,2.92,N/A,N/A,N/A,N/A,83,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,21,Malay,"RM27,703",Sciences,11,3.84,N/A,N/A,N/A,N/A,68,Eligible,Accepted
MARA Scholarship,PG,34,Malay,"RM281,227",Computer Science and IT,10,N/A,N/A,N/A,N/A,3.96,46,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,19,Malay,"RM66,863",Business and Finance,12,N/A,N/A,3.95,N/A,N/A,50,Eligible,Accepted
Gamuda Scholarship,UG,18,Chinese,"RM81,655",Sciences,11,3.31,N/A,N/A,N/A,N/A,41,Not Eligible,Rejected
JPA Scholarship,UG,18,Malay,"RM43,011",Sciences,12,3.99,N/A,N/A,N/A,N/A,74,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,27,Malay,"RM88,223",Law and Social Sciences,12,N/A,N/A,N/A,3.67,N/A,66,Not Eligible,Rejected
JPA Scholarship,UG,18,Bumiputera Sabah / Sarawak,"RM23,262",Engineering,9,N/A,N/A,N/A,3.79,N/A,53,Eligible,Accepted
Yayasan Khazanah Scholarship ,PG,26,Indian,"RM3,386",Computer Science and IT,6,N/A,N/A,N/A,N/A,2.8,70,Not Eligible,Rejected
MARA Scholarship,PG,29,Malay,"RM59,543",Law and Social Sciences,9,N/A,N/A,N/A,N/A,3.25,74,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Bumiputera Sabah / Sarawak,"RM16,538",Law and Social Sciences,0,N/A,5,N/A,N/A,N/A,62,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,20,Malay,"RM92,570",Law and Social Sciences,8,3.35,N/A,N/A,N/A,N/A,67,Eligible,Rejected
Gamuda Scholarship,UG,18,Bumiputera Sabah / Sarawak,"RM233,979",Sciences,11,N/A,N/A,N/A,2.42,N/A,76,Not Eligible,Rejected
MARA Scholarship,UG,28,Malay,"RM170,067",Computer Science and IT,7,3.58,N/A,N/A,N/A,N/A,53,Eligible,Rejected
JPA Scholarship,UG,19,Chinese,"RM57,319",Engineering,5,N/A,N/A,N/A,3.79,N/A,83,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,18,Other,"RM93,599",Computer Science and IT,9,N/A,N/A,3.83,N/A,N/A,80,Eligible,Accepted
Shell Malaysia Scholarship,UG,24,Other,"RM27,918",Computer Science and IT,12,N/A,N/A,3.4,N/A,N/A,74,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,25,Chinese,"RM66,371",Sciences,10,N/A,N/A,N/A,N/A,3.71,67,Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,23,Indian,"RM24,813",Business and Finance,10,N/A,N/A,N/A,3.84,N/A,72,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,19,Chinese,"RM17,556",Sciences,8,N/A,4,N/A,N/A,N/A,69,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,22,Chinese,"RM80,842",Engineering,12,N/A,3,N/A,N/A,N/A,53,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,20,Chinese,"RM120,923",Engineering,12,N/A,4,N/A,N/A,N/A,61,Eligible,Accepted
JPA Scholarship,UG,22,Indian,"RM59,500",Business and Finance,9,3.95,N/A,N/A,N/A,N/A,53,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,23,Bumiputera Sabah / Sarawak,"RM123,760",Engineering,6,N/A,N/A,N/A,3.38,N/A,50,Eligible,Accepted
MARA Scholarship,PG,41,Bumiputera Sabah / Sarawak,"RM93,267",Computer Science and IT,6,N/A,N/A,N/A,N/A,3.91,69,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,19,Chinese,"RM103,222",Computer Science and IT,8,N/A,N/A,N/A,3.53,N/A,81,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,24,Bumiputera Sabah / Sarawak,"RM131,076",Law and Social Sciences,2,N/A,N/A,3.97,N/A,N/A,93,Not Eligible,Rejected
JPA Scholarship,UG,19,Chinese,"RM48,280",Business and Finance,12,N/A,N/A,N/A,3.87,N/A,21,Eligible,Accepted
Yayasan Khazanah Scholarship ,PG,44,Bumiputera Sabah / Sarawak,"RM81,484",Engineering,8,N/A,N/A,N/A,N/A,3.55,71,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,22,Other,"RM128,246",Law and Social Sciences,11,N/A,4,N/A,N/A,N/A,62,Eligible,Accepted
Yayasan Khazanah Scholarship ,PG,37,Chinese,"RM61,604",Law and Social Sciences,11,N/A,N/A,N/A,N/A,2.66,39,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Chinese,"RM26,618",Business and Finance,9,N/A,N/A,3.04,N/A,N/A,65,Eligible,Accepted
Shell Malaysia Scholarship,UG,19,Malay,"RM63,696",Engineering,0,N/A,N/A,3.95,N/A,N/A,64,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,21,Indian,"RM70,368",Sciences,7,3.56,N/A,N/A,N/A,N/A,52,Eligible,Accepted
JPA Scholarship,UG,18,Malay,"RM104,296",Sciences,10,3.84,N/A,N/A,N/A,N/A,30,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,18,Chinese,"RM30,115",Sciences,12,N/A,N/A,N/A,3.71,N/A,70,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,27,Other,"RM15,921",Sciences,10,N/A,N/A,N/A,3.59,N/A,89,Not Eligible,Rejected
JPA Scholarship,PG,34,Malay,"RM25,766",Sciences,5,N/A,N/A,N/A,N/A,3.83,85,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,19,Bumiputera Sabah / Sarawak,"RM6,989",Computer Science and IT,4,N/A,5,N/A,N/A,N/A,68,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Malay,"RM100,974",Business and Finance,5,N/A,N/A,N/A,3.97,N/A,71,Eligible,Rejected
Shell Malaysia Scholarship,UG,20,Malay,"RM52,008",Business and Finance,11,N/A,N/A,3.97,N/A,N/A,21,Not Eligible,Rejected
JPA Scholarship,PG,39,Indian,"RM20,819",Engineering,11,N/A,N/A,N/A,N/A,3.9,82,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,23,Malay,"RM26,207",Computer Science and IT,9,N/A,N/A,3.03,N/A,N/A,73,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,19,Other,"RM41,878",Law and Social Sciences,8,3.64,N/A,N/A,N/A,N/A,73,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,22,Indian,"RM25,975",Business and Finance,2,3.86,N/A,N/A,N/A,N/A,78,Not Eligible,Rejected
MARA Scholarship,UG,26,Malay,"RM101,928",Business and Finance,6,N/A,N/A,N/A,3.05,N/A,74,Eligible,Accepted
MARA Scholarship,UG,23,Bumiputera Sabah / Sarawak,"RM241,008",Engineering,10,N/A,N/A,N/A,3.01,N/A,66,Not Eligible,Rejected
MARA Scholarship,PG,34,Malay,"RM216,318",Computer Science and IT,10,N/A,N/A,N/A,N/A,3.25,75,Eligible,Accepted
Shell Malaysia Scholarship,UG,18,Other,"RM87,547",Sciences,2,N/A,N/A,3.18,N/A,N/A,71,Not Eligible,Rejected
MARA Scholarship,UG,21,Malay,"RM44,113",Medicine and Health Care,12,3.8,N/A,N/A,N/A,N/A,36,Eligible,Accepted
Yayasan Sime Darby Scholarship ,UG,25,Chinese,"RM88,473",Engineering,6,N/A,1,N/A,N/A,N/A,64,Not Eligible,Rejected
JPA Scholarship,UG,19,Other,"RM52,654",Computer Science and IT,11,N/A,N/A,3.91,N/A,N/A,44,Eligible,Accepted
Yayasan Sime Darby Scholarship ,PG,43,Chinese,"RM52,189",Engineering,9,N/A,N/A,N/A,N/A,3.51,64,Not Eligible,Rejected
MARA Scholarship,UG,23,Bumiputera Sabah / Sarawak,"RM54,995",Computer Science and IT,6,3.54,N/A,N/A,N/A,N/A,79,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,29,Indian,"RM106,495",Law and Social Sciences,8,N/A,N/A,3.96,N/A,N/A,46,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Bumiputera Sabah / Sarawak,"RM106,192",Business and Finance,11,N/A,N/A,3.63,N/A,N/A,70,Eligible,Accepted
Yayasan Sime Darby Scholarship ,UG,24,Malay,"RM136,457",Law and Social Sciences,5,N/A,N/A,N/A,3.64,N/A,73,Not Eligible,Rejected
JPA Scholarship,PG,31,Chinese,"RM73,834",Engineering,6,N/A,N/A,N/A,N/A,3.81,69,Eligible,Accepted
Shell Malaysia Scholarship,UG,20,Indian,"RM38,706",Sciences,12,N/A,N/A,3.25,N/A,N/A,76,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Indian,"RM139,749",Computer Science and IT,10,N/A,N/A,3.32,N/A,N/A,47,Eligible,Accepted
Gamuda Scholarship,UG,21,Bumiputera Sabah / Sarawak,"RM112,132",Business and Finance,5,N/A,N/A,3.57,N/A,N/A,69,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Bumiputera Sabah / Sarawak,"RM45,065",Engineering,8,N/A,N/A,3.6,N/A,N/A,56,Eligible,Accepted
Yayasan Sime Darby Scholarship ,PG,41,Bumiputera Sabah / Sarawak,"RM93,495",Law and Social Sciences,8,N/A,N/A,N/A,N/A,3.76,63,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,35,Other,"RM85,038",Sciences,5,N/A,N/A,N/A,N/A,3.78,62,Eligible,Rejected
JPA Scholarship,UG,19,Bumiputera Sabah / Sarawak,"RM11,751",Computer Science and IT,12,N/A,1,N/A,N/A,N/A,68,Not Eligible,Rejected
MARA Scholarship,UG,25,Malay,"RM230,913",Law and Social Sciences,8,N/A,N/A,N/A,3.01,N/A,60,Eligible,Accepted
Yayasan Sime Darby Scholarship ,UG,27,Malay,"RM107,749",Business and Finance,5,3.91,N/A,N/A,N/A,N/A,78,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,20,Bumiputera Sabah / Sarawak,"RM76,753",Computer Science and IT,9,N/A,5,N/A,N/A,N/A,47,Eligible,Accepted
Yayasan Sime Darby Scholarship ,PG,42,Indian,"RM60,943",Law and Social Sciences,11,N/A,N/A,N/A,N/A,3.77,60,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,19,Bumiputera Sabah / Sarawak,"RM73,684",Computer Science and IT,7,N/A,N/A,3.8,N/A,N/A,36,Eligible,Rejected
Gamuda Scholarship,UG,21,Chinese,"RM56,888",Computer Science and IT,7,N/A,N/A,N/A,3.48,N/A,70,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,30,Other,"RM113,297",Engineering,6,N/A,N/A,N/A,N/A,3.65,52,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,18,Indian,"RM158,788",Computer Science and IT,12,N/A,N/A,N/A,2.42,N/A,35,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,36,Malay,"RM36,883",Law and Social Sciences,12,N/A,N/A,N/A,N/A,3.95,58,Eligible,Accepted
JPA Scholarship,PG,37,Indian,"RM7,600",Medicine and Health Care,7,N/A,N/A,N/A,N/A,2.81,55,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,32,Other,"RM48,050",Law and Social Sciences,8,N/A,N/A,N/A,N/A,3.62,47,Eligible,Accepted
JPA Scholarship,PG,44,Chinese,"RM48,600",Computer Science and IT,5,N/A,N/A,N/A,N/A,3.8,73,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,31,Other,"RM35,627",Computer Science and IT,9,N/A,N/A,N/A,N/A,3.53,23,Eligible,Rejected
Shell Malaysia Scholarship,UG,23,Malay,"RM24,882",Engineering,10,N/A,N/A,3.12,N/A,N/A,88,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,20,Chinese,"RM96,582",Law and Social Sciences,7,N/A,3,N/A,N/A,N/A,61,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,29,Indian,"RM21,491",Computer Science and IT,12,3.73,N/A,N/A,N/A,N/A,63,Not Eligible,Rejected
JPA Scholarship,PG,32,Chinese,"RM64,993",Computer Science and IT,11,N/A,N/A,N/A,N/A,3.88,77,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,30,Indian,"RM95,549",Sciences,9,N/A,N/A,N/A,3.66,N/A,72,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Malay,"RM140,858",Business and Finance,12,N/A,N/A,3.61,N/A,N/A,67,Eligible,Accepted
Yayasan Sime Darby Scholarship ,UG,25,Other,"RM168,643",Business and Finance,8,N/A,N/A,N/A,3.93,N/A,60,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,40,Indian,"RM35,446",Law and Social Sciences,8,N/A,N/A,N/A,N/A,3.9,76,Eligible,Accepted
MARA Scholarship,PG,41,Bumiputera Sabah / Sarawak,"RM134,940",Engineering,6,N/A,N/A,N/A,N/A,3.49,62,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,40,Other,"RM131,603",Sciences,7,N/A,N/A,N/A,N/A,3.89,57,Eligible,Accepted
MARA Scholarship,UG,35,Other,"RM85,338",Law and Social Sciences,5,3.44,N/A,N/A,N/A,N/A,62,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,25,Chinese,"RM94,513",Law and Social Sciences,10,N/A,N/A,3.86,N/A,N/A,53,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,23,Indian,"RM11,980",Sciences,9,N/A,5,N/A,N/A,N/A,44,Not Eligible,Rejected
MARA Scholarship,PG,29,Malay,"RM217,426",Medicine and Health Care,5,N/A,N/A,N/A,N/A,3.78,85,Eligible,Accepted
JPA Scholarship,UG,22,Chinese,"RM34,039",Engineering,9,N/A,3,N/A,N/A,N/A,59,Not Eligible,Rejected
JPA Scholarship,UG,18,Indian,"RM47,111",Engineering,11,N/A,3,N/A,N/A,N/A,70,Eligible,Accepted
Yayasan Sime Darby Scholarship ,PG,31,Indian,"RM101,657",Computer Science and IT,11,N/A,N/A,N/A,N/A,2.52,59,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,38,Other,"RM54,300",Sciences,12,N/A,N/A,N/A,N/A,3.65,61,Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,26,Bumiputera Sabah / Sarawak,"RM84,087",Sciences,10,3.55,N/A,N/A,N/A,N/A,60,Not Eligible,Rejected
MARA Scholarship,PG,27,Malay,"RM126,055",Law and Social Sciences,10,N/A,N/A,N/A,N/A,3.14,61,Eligible,Accepted
JPA Scholarship,UG,18,Indian,"RM110,816",Engineering,12,N/A,N/A,3.77,N/A,N/A,56,Not Eligible,Rejected
MARA Scholarship,UG,32,Malay,"RM144,400",Sciences,5,3.08,N/A,N/A,N/A,N/A,72,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,25,Indian,"RM111,876",Computer Science and IT,11,N/A,5,N/A,N/A,N/A,48,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,18,Other,"RM91,969",Computer Science and IT,10,3.72,N/A,N/A,N/A,N/A,61,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM132,178",Medicine and Health Care,8,N/A,N/A,N/A,2.64,N/A,58,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,24,Bumiputera Sabah / Sarawak,"RM75,936",Computer Science and IT,9,3.99,N/A,N/A,N/A,N/A,73,Eligible,Accepted
JPA Scholarship,UG,22,Indian,"RM21,000",Computer Science and IT,11,N/A,5,N/A,N/A,N/A,89,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,27,Indian,"RM72,107",Business and Finance,11,N/A,N/A,N/A,N/A,3.9,28,Eligible,Rejected
JPA Scholarship,UG,19,Other,"RM29,335",Law and Social Sciences,3,3.51,N/A,N/A,N/A,N/A,61,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Other,"RM7,270",Business and Finance,9,N/A,N/A,N/A,3.78,N/A,80,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,28,Other,"RM54,142",Computer Science and IT,10,N/A,N/A,N/A,3.73,N/A,59,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Bumiputera Sabah / Sarawak,"RM31,646",Business and Finance,11,N/A,N/A,3.95,N/A,N/A,62,Eligible,Accepted
Shell Malaysia Scholarship,UG,20,Indian,"RM67,571",Engineering,9,N/A,N/A,3.18,N/A,N/A,57,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,31,Indian,"RM60,600",Engineering,10,N/A,N/A,N/A,N/A,3.57,62,Eligible,Accepted
Yayasan Sime Darby Scholarship ,UG,22,Bumiputera Sabah / Sarawak,"RM106,741",Engineering,11,N/A,1,N/A,N/A,N/A,80,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,24,Other,"RM92,878",Computer Science and IT,12,N/A,N/A,N/A,N/A,3.65,80,Eligible,Rejected
Gamuda Scholarship,UG,18,Other,"RM57,253",Business and Finance,8,N/A,N/A,2.53,N/A,N/A,59,Not Eligible,Rejected
Gamuda Scholarship,UG,18,Chinese,"RM7,202",Law and Social Sciences,12,3.74,N/A,N/A,N/A,N/A,94,Eligible,Accepted
MARA Scholarship,UG,27,Malay,"RM136,205",Engineering,10,N/A,N/A,N/A,2.5,N/A,79,Not Eligible,Rejected
Gamuda Scholarship,UG,18,Other,"RM31,909",Sciences,12,N/A,N/A,3.71,N/A,N/A,60,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Indian,"RM155,139",Medicine and Health Care,12,N/A,N/A,N/A,2.93,N/A,57,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,27,Bumiputera Sabah / Sarawak,"RM13,426",Computer Science and IT,7,N/A,N/A,N/A,N/A,3.76,53,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,21,Bumiputera Sabah / Sarawak,"RM34,751",Law and Social Sciences,6,N/A,4,N/A,N/A,N/A,88,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Chinese,"RM6,318",Computer Science and IT,8,N/A,N/A,3.84,N/A,N/A,55,Eligible,Accepted
Shell Malaysia Scholarship,UG,23,Bumiputera Sabah / Sarawak,"RM85,021",Computer Science and IT,11,N/A,N/A,3.57,N/A,N/A,75,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,20,Chinese,"RM37,737",Sciences,12,N/A,4,N/A,N/A,N/A,90,Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,21,Chinese,"RM144,290",Engineering,10,N/A,N/A,3.94,N/A,N/A,69,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,22,Indian,"RM77,803",Engineering,10,N/A,4,N/A,N/A,N/A,84,Eligible,Rejected
Gamuda Scholarship,UG,18,Indian,"RM97,011",Sciences,12,3.04,N/A,N/A,N/A,N/A,46,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Chinese,"RM201,316",Law and Social Sciences,12,N/A,N/A,N/A,3.82,N/A,96,Eligible,Accepted
Gamuda Scholarship,UG,18,Chinese,"RM12,136",Law and Social Sciences,11,2.71,N/A,N/A,N/A,N/A,73,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,24,Bumiputera Sabah / Sarawak,"RM242,212",Law and Social Sciences,10,3.87,N/A,N/A,N/A,N/A,54,Eligible,Accepted
Shell Malaysia Scholarship,UG,19,Chinese,"RM53,650",Engineering,6,N/A,N/A,3.91,N/A,N/A,89,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Chinese,"RM56,680",Computer Science and IT,8,N/A,3,N/A,N/A,N/A,57,Eligible,Accepted
MARA Scholarship,PG,44,Bumiputera Sabah / Sarawak,"RM213,353",Engineering,12,N/A,N/A,N/A,N/A,3.74,88,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,24,Other,"RM24,872",Computer Science and IT,5,N/A,N/A,N/A,N/A,3.54,79,Eligible,Rejected
JPA Scholarship,UG,19,Malay,"RM67,933",Business and Finance,12,N/A,N/A,3.9,N/A,N/A,50,Not Eligible,Rejected
Gamuda Scholarship,UG,18,Indian,"RM96,100",Sciences,6,N/A,N/A,N/A,3.89,N/A,65,Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,42,Bumiputera Sabah / Sarawak,"RM37,293",Computer Science and IT,10,N/A,N/A,N/A,N/A,3.7,64,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,38,Indian,"RM84,578",Computer Science and IT,10,N/A,N/A,N/A,N/A,3.54,55,Eligible,Accepted
JPA Scholarship,PG,42,Malay,"RM97,400",Business and Finance,10,N/A,N/A,N/A,N/A,3.7,24,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,34,Indian,"RM116,289",Law and Social Sciences,9,N/A,N/A,N/A,N/A,3.96,63,Eligible,Rejected
Shell Malaysia Scholarship,UG,24,Bumiputera Sabah / Sarawak,"RM36,317",Business and Finance,10,N/A,N/A,3.81,N/A,N/A,56,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,21,Indian,"RM57,246",Business and Finance,9,N/A,4,N/A,N/A,N/A,77,Eligible,Rejected
JPA Scholarship,PG,45,Bumiputera Sabah / Sarawak,"RM117,161",Computer Science and IT,5,N/A,N/A,N/A,N/A,3.7,57,Not Eligible,Rejected
JPA Scholarship,UG,19,Other,"RM11,613",Engineering,12,N/A,N/A,3.93,N/A,N/A,70,Eligible,Accepted
MARA Scholarship,UG,32,Bumiputera Sabah / Sarawak,"RM244,316",Computer Science and IT,10,N/A,N/A,3.14,N/A,N/A,53,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Malay,"RM64,626",Sciences,5,N/A,N/A,3.59,N/A,N/A,66,Eligible,Rejected
MARA Scholarship,UG,36,Bumiputera Sabah / Sarawak,"RM211,401",Business and Finance,7,2.05,N/A,N/A,N/A,N/A,63,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,21,Bumiputera Sabah / Sarawak,"RM43,472",Law and Social Sciences,12,N/A,N/A,N/A,3.72,N/A,80,Eligible,Accepted
Yayasan Sime Darby Scholarship ,PG,45,Other,"RM77,079",Business and Finance,12,N/A,N/A,N/A,N/A,3.66,61,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,22,Bumiputera Sabah / Sarawak,"RM56,627",Sciences,10,N/A,5,N/A,N/A,N/A,62,Eligible,Rejected
JPA Scholarship,PG,41,Indian,"RM34,601",Sciences,10,N/A,N/A,N/A,N/A,3.91,66,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,38,Other,"RM84,786",Medicine and Health Care,9,N/A,N/A,N/A,N/A,3.71,93,Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,18,Indian,"RM34,127",Computer Science and IT,5,N/A,5,N/A,N/A,N/A,61,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Bumiputera Sabah / Sarawak,"RM154,721",Engineering,11,N/A,N/A,3.89,N/A,N/A,49,Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,35,Indian,"RM135,031",Business and Finance,10,N/A,N/A,N/A,N/A,3.58,70,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,24,Other,"RM78,243",Business and Finance,8,N/A,5,N/A,N/A,N/A,49,Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,24,Indian,"RM38,346",Sciences,10,N/A,5,N/A,N/A,N/A,77,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Chinese,"RM18,548",Engineering,11,N/A,N/A,3.75,N/A,N/A,47,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,26,Indian,"RM41,041",Law and Social Sciences,9,3.73,N/A,N/A,N/A,N/A,43,Not Eligible,Rejected
MARA Scholarship,PG,24,Malay,"RM105,894",Computer Science and IT,7,N/A,N/A,N/A,N/A,3.69,100,Eligible,Accepted
MARA Scholarship,PG,31,Indian,"RM121,285",Computer Science and IT,6,N/A,N/A,N/A,N/A,3.28,59,Not Eligible,Rejected
MARA Scholarship,PG,29,Malay,"RM229,472",Law and Social Sciences,8,N/A,N/A,N/A,N/A,3.09,43,Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Chinese,"RM31,007",Engineering,2,N/A,N/A,3.53,N/A,N/A,58,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,19,Chinese,"RM80,150",Engineering,11,N/A,5,N/A,N/A,N/A,62,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,23,Chinese,"RM145,136",Computer Science and IT,0,N/A,5,N/A,N/A,N/A,77,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,36,Chinese,"RM111,749",Sciences,5,N/A,N/A,N/A,N/A,3.62,63,Eligible,Rejected
