Applied Scholarship,Scholarship Level,Age,Race,Household Income,Field of Study,SPM Result (As),STPM CGPA,A-Level (As),Matriculation CGPA,Foundation CGPA,UG CGPA,Co-curricular Score,Eligibility Status,Application Status
JPA Scholarship,UG,19,Others,"RM23,703",Business and Finance,11,N/A,N/A,N/A,N/A,N/A,59,Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,20,Other Bumiputera,"RM67,597",Business and Finance,N/A,N/A,N/A,N/A,N/A,3.65,93,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,27,Indian,"RM262,723",Computer Science and IT,11,N/A,N/A,N/A,N/A,N/A,73,Not Eligible,Rejected
MARA Scholarship,PG,24,Other Bumiputera,"RM43,005",Sciences,N/A,N/A,N/A,N/A,N/A,3.47,78,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Indian,"RM37,807",Computer Science and IT,10,N/A,N/A,N/A,N/A,N/A,51,Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,20,Other Bumiputera,"RM70,075",Sciences,10,N/A,N/A,N/A,N/A,N/A,48,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,18,Others,"RM213,631",Sciences,9,N/A,N/A,N/A,N/A,N/A,44,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,19,Others,"RM290,303",Business and Finance,10,N/A,N/A,N/A,N/A,N/A,90,Eligible,Accepted
Shell Malaysia Scholarship,UG,18,Indian,"RM235,471",Business and Finance,7,N/A,N/A,N/A,N/A,N/A,46,Not Eligible,Rejected
JPA Scholarship,UG,19,Other Bumiputera,"RM54,900",Sciences,N/A,N/A,N/A,3.96,N/A,N/A,52,Eligible,Accepted
Shell Malaysia Scholarship,UG,19,Other Bumiputera,"RM81,829",Business and Finance,11,N/A,N/A,N/A,N/A,N/A,64,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,23,Others,"RM218,633",Law and Social Sciences,9,N/A,N/A,N/A,N/A,N/A,78,Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Other Bumiputera,"RM208,185",Law and Social Sciences,11,N/A,N/A,N/A,N/A,N/A,40,Eligible,Rejected
JPA Scholarship,UG,18,Chinese,"RM57,669",Sciences,N/A,N/A,N/A,3.91,N/A,N/A,47,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Chinese,"RM232,596",Medicine and Health Care,10,N/A,N/A,N/A,N/A,N/A,75,Eligible,Rejected
MARA Scholarship,UG,33,Malay,"RM242,173",Engineering,N/A,N/A,N/A,3.11,N/A,N/A,43,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,22,Others,"RM47,623",Business and Finance,10,N/A,N/A,N/A,N/A,N/A,46,Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Indian,"RM230,655",Sciences,10,N/A,N/A,N/A,N/A,N/A,68,Eligible,Rejected
MARA Scholarship,UG,37,Other Bumiputera,"RM27,288",Sciences,N/A,3.29,N/A,N/A,N/A,N/A,95,Eligible,Accepted
Yayasan Sime Darby Scholarship ,PG,18,Malay,"RM86,809",Sciences,N/A,N/A,N/A,N/A,N/A,3.65,75,Eligible,Accepted
Shell Malaysia Scholarship,UG,18,Malay,"RM246,220",Sciences,9,N/A,N/A,N/A,N/A,N/A,50,Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,20,Indian,"RM36,350",Law and Social Sciences,N/A,3.47,N/A,N/A,N/A,N/A,66,Eligible,Accepted
JPA Scholarship,PG,29,Malay,"RM213,373",Business and Finance,N/A,N/A,N/A,N/A,N/A,3.75,70,Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,22,Chinese,"RM14,360",Computer Science and IT,10,N/A,N/A,N/A,N/A,N/A,92,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,20,Malay,"RM203,814",Law and Social Sciences,12,N/A,N/A,N/A,N/A,N/A,45,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,28,Malay,"RM229,506",Computer Science and IT,9,N/A,N/A,N/A,N/A,N/A,74,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,20,Indian,"RM269,032",Sciences,11,N/A,N/A,N/A,N/A,N/A,60,Eligible,Rejected
JPA Scholarship,UG,19,Malay,"RM46,589",Engineering,8,N/A,N/A,N/A,N/A,N/A,79,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,35,Indian,"RM21,550",Engineering,N/A,N/A,N/A,N/A,N/A,3.67,64,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,24,Indian,"RM134,510",Law and Social Sciences,11,N/A,N/A,N/A,N/A,N/A,89,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,22,Indian,"RM83,382",Sciences,9,N/A,N/A,N/A,N/A,N/A,73,Eligible,Accepted
Shell Malaysia Scholarship,UG,19,Other Bumiputera,"RM222,014",Computer Science and IT,8,N/A,N/A,N/A,N/A,N/A,63,Eligible,Rejected
MARA Scholarship,UG,37,Other Bumiputera,"RM270,304",Law and Social Sciences,N/A,2.25,N/A,N/A,N/A,N/A,57,Not Eligible,Rejected
JPA Scholarship,UG,19,Other Bumiputera,"RM31,868",Engineering,9,N/A,N/A,N/A,N/A,N/A,78,Eligible,Accepted
Shell Malaysia Scholarship,UG,18,Malay,"RM137,541",Engineering,8,N/A,N/A,N/A,N/A,N/A,69,Eligible,Rejected
JPA Scholarship,PG,27,Indian,"RM192,782",Law and Social Sciences,N/A,N/A,N/A,N/A,N/A,3.68,71,Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Other Bumiputera,"RM48,634",Business and Finance,12,N/A,N/A,N/A,N/A,N/A,78,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,20,Indian,"RM219,748",Business and Finance,6,N/A,N/A,N/A,N/A,N/A,50,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Indian,"RM234,813",Sciences,9,N/A,N/A,N/A,N/A,N/A,59,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,22,Chinese,"RM47,059",Sciences,12,N/A,N/A,N/A,N/A,N/A,43,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,21,Other Bumiputera,"RM150,175",Sciences,8,N/A,N/A,N/A,N/A,N/A,84,Not Eligible,Rejected
JPA Scholarship,UG,18,Indian,"RM23,695",Business and Finance,12,N/A,N/A,N/A,N/A,N/A,86,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,27,Chinese,"RM150,972",Sciences,9,N/A,N/A,N/A,N/A,N/A,76,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Chinese,"RM33,784",Medicine and Health Care,10,N/A,N/A,N/A,N/A,N/A,90,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM79,975",Computer Science and IT,10,N/A,N/A,N/A,N/A,N/A,74,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,23,Others,"RM92,186",Law and Social Sciences,11,N/A,N/A,N/A,N/A,N/A,93,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Other Bumiputera,"RM110,089",Law and Social Sciences,10,N/A,N/A,N/A,N/A,N/A,81,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,28,Others,"RM215,464",Sciences,N/A,N/A,4,N/A,N/A,N/A,74,Not Eligible,Rejected
JPA Scholarship,UG,19,Chinese,"RM58,157",Sciences,10,N/A,N/A,N/A,N/A,N/A,70,Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,22,Malay,"RM118,478",Medicine and Health Care,7,N/A,N/A,N/A,N/A,N/A,69,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,19,Malay,"RM249,210",Engineering,7,N/A,N/A,N/A,N/A,N/A,54,Not Eligible,Rejected
JPA Scholarship,UG,18,Indian,"RM20,286",Engineering,N/A,N/A,3,N/A,N/A,N/A,92,Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,21,Malay,"RM57,679",Business and Finance,10,N/A,N/A,N/A,N/A,N/A,53,Eligible,Accepted
JPA Scholarship,UG,18,Others,"RM57,386",Sciences,9,N/A,N/A,N/A,N/A,N/A,57,Eligible,Rejected
JPA Scholarship,UG,18,Other Bumiputera,"RM80,736",Engineering,12,N/A,N/A,N/A,N/A,N/A,54,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM235,076",Law and Social Sciences,11,N/A,N/A,N/A,N/A,N/A,90,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,22,Malay,"RM210,204",Law and Social Sciences,8,N/A,N/A,N/A,N/A,N/A,63,Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Other Bumiputera,"RM47,797",Law and Social Sciences,11,N/A,N/A,N/A,N/A,N/A,73,Eligible,Accepted
Shell Malaysia Scholarship,UG,19,Chinese,"RM222,516",Computer Science and IT,9,N/A,N/A,N/A,N/A,N/A,58,Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,20,Indian,"RM283,014",Law and Social Sciences,11,N/A,N/A,N/A,N/A,N/A,50,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,21,Chinese,"RM42,537",Sciences,8,N/A,N/A,N/A,N/A,N/A,87,Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Others,"RM263,885",Computer Science and IT,N/A,N/A,3,N/A,N/A,N/A,56,Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,18,Malay,"RM201,118",Sciences,10,N/A,N/A,N/A,N/A,N/A,94,Eligible,Accepted
JPA Scholarship,UG,19,Others,"RM34,108",Engineering,N/A,3.97,N/A,N/A,N/A,N/A,66,Eligible,Accepted
JPA Scholarship,UG,19,Indian,"RM45,944",Law and Social Sciences,11,N/A,N/A,N/A,N/A,N/A,72,Eligible,Accepted
MARA Scholarship,PG,21,Malay,"RM211,380",Sciences,N/A,N/A,N/A,N/A,N/A,3.53,49,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,19,Chinese,"RM52,901",Sciences,8,N/A,N/A,N/A,N/A,N/A,48,Not Eligible,Rejected
MARA Scholarship,PG,37,Other Bumiputera,"RM61,386",Medicine and Health Care,N/A,N/A,N/A,N/A,N/A,3.41,40,Eligible,Accepted
JPA Scholarship,UG,19,Other Bumiputera,"RM10,036",Sciences,10,N/A,N/A,N/A,N/A,N/A,89,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,25,Chinese,"RM120,535",Computer Science and IT,N/A,N/A,N/A,N/A,3.62,N/A,72,Eligible,Accepted
JPA Scholarship,UG,18,Malay,"RM29,272",Law and Social Sciences,10,N/A,N/A,N/A,N/A,N/A,50,Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Chinese,"RM184,863",Business and Finance,11,N/A,N/A,N/A,N/A,N/A,78,Eligible,Accepted
JPA Scholarship,UG,19,Indian,"RM17,701",Sciences,10,N/A,N/A,N/A,N/A,N/A,77,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,19,Other Bumiputera,"RM78,441",Law and Social Sciences,10,N/A,N/A,N/A,N/A,N/A,65,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,20,Others,"RM229,657",Computer Science and IT,8,N/A,N/A,N/A,N/A,N/A,83,Eligible,Accepted
JPA Scholarship,UG,18,Chinese,"RM20,356",Business and Finance,11,N/A,N/A,N/A,N/A,N/A,64,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,21,Chinese,"RM152,280",Law and Social Sciences,11,N/A,N/A,N/A,N/A,N/A,56,Eligible,Accepted
Yayasan Sime Darby Scholarship ,PG,24,Malay,"RM18,222",Sciences,N/A,N/A,N/A,N/A,N/A,3.62,63,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,28,Malay,"RM231,110",Business and Finance,N/A,N/A,N/A,3.6,N/A,N/A,94,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,20,Chinese,"RM101,753",Business and Finance,8,N/A,N/A,N/A,N/A,N/A,75,Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,20,Others,"RM105,432",Sciences,10,N/A,N/A,N/A,N/A,N/A,94,Eligible,Accepted
Yayasan Khazanah Scholarship ,PG,27,Malay,"RM298,352",Medicine and Health Care,N/A,N/A,N/A,N/A,N/A,3.6,67,Eligible,Rejected
JPA Scholarship,UG,19,Chinese,"RM101,293",Business and Finance,10,N/A,N/A,N/A,N/A,N/A,76,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,19,Chinese,"RM94,751",Sciences,N/A,3.53,N/A,N/A,N/A,N/A,62,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,26,Other Bumiputera,"RM198,877",Sciences,9,N/A,N/A,N/A,N/A,N/A,41,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,28,Malay,"RM119,510",Law and Social Sciences,12,N/A,N/A,N/A,N/A,N/A,76,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,19,Chinese,"RM222,040",Computer Science and IT,10,N/A,N/A,N/A,N/A,N/A,57,Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,27,Indian,"RM246,461",Law and Social Sciences,12,N/A,N/A,N/A,N/A,N/A,42,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Chinese,"RM142,736",Medicine and Health Care,9,N/A,N/A,N/A,N/A,N/A,74,Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Indian,"RM149,816",Engineering,10,N/A,N/A,N/A,N/A,N/A,52,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,29,Indian,"RM145,214",Computer Science and IT,9,N/A,N/A,N/A,N/A,N/A,87,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,21,Other Bumiputera,"RM220,597",Law and Social Sciences,N/A,N/A,N/A,3.11,N/A,N/A,71,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,19,Indian,"RM105,146",Sciences,10,N/A,N/A,N/A,N/A,N/A,81,Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Chinese,"RM168,061",Engineering,10,N/A,N/A,N/A,N/A,N/A,45,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,19,Others,"RM193,518",Business and Finance,7,N/A,N/A,N/A,N/A,N/A,57,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,21,Others,"RM269,742",Sciences,N/A,N/A,N/A,4.0,N/A,N/A,56,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,25,Malay,"RM216,752",Business and Finance,9,N/A,N/A,N/A,N/A,N/A,68,Eligible,Rejected
JPA Scholarship,UG,19,Indian,"RM62,116",Law and Social Sciences,10,N/A,N/A,N/A,N/A,N/A,43,Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Chinese,"RM89,920",Engineering,10,N/A,N/A,N/A,N/A,N/A,77,Eligible,Accepted
Yayasan Sime Darby Scholarship ,UG,23,Indian,"RM45,977",Business and Finance,N/A,N/A,4,N/A,N/A,N/A,78,Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Other Bumiputera,"RM269,565",Business and Finance,9,N/A,N/A,N/A,N/A,N/A,49,Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,20,Other Bumiputera,"RM45,016",Business and Finance,10,N/A,N/A,N/A,N/A,N/A,81,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,19,Chinese,"RM153,237",Computer Science and IT,10,N/A,N/A,N/A,N/A,N/A,94,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,25,Others,"RM118,955",Business and Finance,6,N/A,N/A,N/A,N/A,N/A,55,Not Eligible,Rejected
MARA Scholarship,UG,19,Malay,"RM230,165",Sciences,N/A,N/A,5,N/A,N/A,N/A,85,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM25,232",Law and Social Sciences,N/A,N/A,5,N/A,N/A,N/A,56,Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,22,Indian,"RM80,798",Law and Social Sciences,11,N/A,N/A,N/A,N/A,N/A,78,Eligible,Accepted
JPA Scholarship,UG,24,Malay,"RM50,583",Engineering,10,N/A,N/A,N/A,N/A,N/A,70,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Others,"RM251,352",Computer Science and IT,11,N/A,N/A,N/A,N/A,N/A,49,Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Indian,"RM171,529",Business and Finance,12,N/A,N/A,N/A,N/A,N/A,48,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM60,605",Business and Finance,N/A,2.25,N/A,N/A,N/A,N/A,75,Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,22,Other Bumiputera,"RM52,190",Business and Finance,7,N/A,N/A,N/A,N/A,N/A,63,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,21,Malay,"RM182,721",Law and Social Sciences,7,N/A,N/A,N/A,N/A,N/A,43,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM113,728",Engineering,11,N/A,N/A,N/A,N/A,N/A,79,Eligible,Accepted
Yayasan Sime Darby Scholarship ,UG,18,Malay,"RM106,301",Law and Social Sciences,N/A,N/A,N/A,N/A,3.8,N/A,73,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Others,"RM263,848",Business and Finance,N/A,3.38,N/A,N/A,N/A,N/A,43,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,22,Others,"RM279,756",Sciences,N/A,3.6,N/A,N/A,N/A,N/A,63,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,27,Other Bumiputera,"RM106,914",Law and Social Sciences,8,N/A,N/A,N/A,N/A,N/A,56,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,25,Indian,"RM54,106",Law and Social Sciences,6,N/A,N/A,N/A,N/A,N/A,58,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Indian,"RM73,643",Computer Science and IT,N/A,N/A,5,N/A,N/A,N/A,47,Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Chinese,"RM261,278",Computer Science and IT,9,N/A,N/A,N/A,N/A,N/A,52,Eligible,Accepted
Shell Malaysia Scholarship,UG,21,Chinese,"RM40,333",Engineering,N/A,N/A,N/A,N/A,3.45,N/A,84,Not Eligible,Rejected
JPA Scholarship,UG,19,Chinese,"RM30,594",Business and Finance,8,N/A,N/A,N/A,N/A,N/A,59,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,20,Indian,"RM70,068",Sciences,N/A,N/A,5,N/A,N/A,N/A,47,Eligible,Rejected
JPA Scholarship,UG,19,Chinese,"RM35,129",Law and Social Sciences,9,N/A,N/A,N/A,N/A,N/A,46,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,30,Other Bumiputera,"RM215,856",Computer Science and IT,7,N/A,N/A,N/A,N/A,N/A,91,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,19,Other Bumiputera,"RM209,291",Business and Finance,N/A,3.86,N/A,N/A,N/A,N/A,57,Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,21,Indian,"RM66,128",Law and Social Sciences,9,N/A,N/A,N/A,N/A,N/A,40,Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Others,"RM251,132",Sciences,11,N/A,N/A,N/A,N/A,N/A,54,Eligible,Accepted
Yayasan Khazanah Scholarship ,PG,19,Malay,"RM21,915",Law and Social Sciences,N/A,N/A,N/A,N/A,N/A,3.87,82,Eligible,Accepted
Shell Malaysia Scholarship,UG,23,Others,"RM37,960",Sciences,10,N/A,N/A,N/A,N/A,N/A,62,Not Eligible,Rejected
JPA Scholarship,UG,19,Other Bumiputera,"RM37,584",Business and Finance,9,N/A,N/A,N/A,N/A,N/A,63,Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,30,Others,"RM259,755",Medicine and Health Care,N/A,N/A,N/A,N/A,N/A,3.53,91,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,24,Other Bumiputera,"RM18,623",Sciences,N/A,N/A,N/A,3.78,N/A,N/A,80,Eligible,Accepted
Shell Malaysia Scholarship,UG,19,Other Bumiputera,"RM231,641",Computer Science and IT,10,N/A,N/A,N/A,N/A,N/A,50,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,21,Other Bumiputera,"RM178,304",Business and Finance,N/A,N/A,N/A,2.71,N/A,N/A,62,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Other Bumiputera,"RM228,476",Business and Finance,11,N/A,N/A,N/A,N/A,N/A,62,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Chinese,"RM262,830",Computer Science and IT,10,N/A,N/A,N/A,N/A,N/A,84,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,26,Others,"RM126,873",Computer Science and IT,9,N/A,N/A,N/A,N/A,N/A,57,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Chinese,"RM170,397",Sciences,10,N/A,N/A,N/A,N/A,N/A,60,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,18,Chinese,"RM68,226",Sciences,8,N/A,N/A,N/A,N/A,N/A,58,Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Chinese,"RM48,273",Sciences,10,N/A,N/A,N/A,N/A,N/A,84,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Others,"RM153,607",Sciences,8,N/A,N/A,N/A,N/A,N/A,40,Eligible,Rejected
JPA Scholarship,UG,18,Chinese,"RM14,197",Business and Finance,12,N/A,N/A,N/A,N/A,N/A,88,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,20,Others,"RM297,333",Computer Science and IT,11,N/A,N/A,N/A,N/A,N/A,42,Eligible,Rejected
JPA Scholarship,UG,19,Others,"RM13,007",Computer Science and IT,N/A,3.85,N/A,N/A,N/A,N/A,85,Eligible,Accepted
Shell Malaysia Scholarship,UG,18,Malay,"RM103,988",Sciences,N/A,N/A,N/A,N/A,3.95,N/A,73,Eligible,Accepted
JPA Scholarship,PG,26,Malay,"RM197,238",Sciences,N/A,N/A,N/A,N/A,N/A,3.76,52,Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Others,"RM59,664",Computer Science and IT,11,N/A,N/A,N/A,N/A,N/A,73,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,24,Other Bumiputera,"RM86,762",Computer Science and IT,10,N/A,N/A,N/A,N/A,N/A,86,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Indian,"RM274,179",Business and Finance,11,N/A,N/A,N/A,N/A,N/A,88,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,21,Indian,"RM271,388",Engineering,9,N/A,N/A,N/A,N/A,N/A,59,Eligible,Accepted
Shell Malaysia Scholarship,UG,18,Indian,"RM61,187",Computer Science and IT,7,N/A,N/A,N/A,N/A,N/A,44,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,18,Chinese,"RM169,138",Computer Science and IT,7,N/A,N/A,N/A,N/A,N/A,69,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,20,Other Bumiputera,"RM193,212",Sciences,12,N/A,N/A,N/A,N/A,N/A,41,Eligible,Accepted
JPA Scholarship,UG,19,Others,"RM24,668",Computer Science and IT,10,N/A,N/A,N/A,N/A,N/A,48,Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Indian,"RM74,687",Sciences,11,N/A,N/A,N/A,N/A,N/A,41,Eligible,Rejected
JPA Scholarship,UG,19,Indian,"RM103,689",Computer Science and IT,N/A,N/A,4,N/A,N/A,N/A,86,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Indian,"RM55,292",Sciences,7,N/A,N/A,N/A,N/A,N/A,58,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,18,Malay,"RM210,459",Computer Science and IT,9,N/A,N/A,N/A,N/A,N/A,47,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,20,Indian,"RM37,376",Computer Science and IT,9,N/A,N/A,N/A,N/A,N/A,74,Not Eligible,Rejected
JPA Scholarship,UG,19,Other Bumiputera,"RM20,147",Computer Science and IT,11,N/A,N/A,N/A,N/A,N/A,50,Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Indian,"RM264,346",Computer Science and IT,11,N/A,N/A,N/A,N/A,N/A,90,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,19,Others,"RM204,115",Law and Social Sciences,10,N/A,N/A,N/A,N/A,N/A,69,Eligible,Accepted
Shell Malaysia Scholarship,UG,18,Indian,"RM33,500",Business and Finance,7,N/A,N/A,N/A,N/A,N/A,45,Not Eligible,Rejected
JPA Scholarship,UG,18,Others,"RM11,769",Law and Social Sciences,12,N/A,N/A,N/A,N/A,N/A,59,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,18,Other Bumiputera,"RM113,877",Sciences,6,N/A,N/A,N/A,N/A,N/A,80,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,20,Other Bumiputera,"RM202,063",Business and Finance,N/A,N/A,N/A,N/A,2.49,N/A,86,Eligible,Accepted
Shell Malaysia Scholarship,UG,19,Other Bumiputera,"RM179,058",Computer Science and IT,N/A,N/A,5,N/A,N/A,N/A,90,Eligible,Rejected
MARA Scholarship,UG,33,Other Bumiputera,"RM165,187",Law and Social Sciences,N/A,N/A,N/A,3.6,N/A,N/A,89,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Indian,"RM12,123",Computer Science and IT,11,N/A,N/A,N/A,N/A,N/A,52,Eligible,Accepted
MARA Scholarship,PG,27,Malay,"RM27,230",Computer Science and IT,N/A,N/A,N/A,N/A,N/A,2.81,77,Not Eligible,Rejected
JPA Scholarship,UG,18,Indian,"RM28,842",Sciences,N/A,3.97,N/A,N/A,N/A,N/A,84,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,21,Malay,"RM258,061",Law and Social Sciences,11,N/A,N/A,N/A,N/A,N/A,91,Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Others,"RM271,298",Sciences,12,N/A,N/A,N/A,N/A,N/A,66,Eligible,Accepted
MARA Scholarship,PG,28,Other Bumiputera,"RM101,516",Engineering,N/A,N/A,N/A,N/A,N/A,2.49,80,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,20,Other Bumiputera,"RM255,814",Computer Science and IT,N/A,N/A,N/A,N/A,3.29,N/A,85,Eligible,Accepted
Shell Malaysia Scholarship,UG,18,Malay,"RM83,839",Sciences,7,N/A,N/A,N/A,N/A,N/A,63,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Indian,"RM288,258",Business and Finance,7,N/A,N/A,N/A,N/A,N/A,86,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,23,Malay,"RM134,081",Law and Social Sciences,7,N/A,N/A,N/A,N/A,N/A,70,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Other Bumiputera,"RM277,169",Engineering,11,N/A,N/A,N/A,N/A,N/A,91,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,26,Other Bumiputera,"RM192,136",Engineering,8,N/A,N/A,N/A,N/A,N/A,80,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,19,Malay,"RM37,700",Engineering,11,N/A,N/A,N/A,N/A,N/A,54,Eligible,Accepted
Shell Malaysia Scholarship,UG,18,Malay,"RM249,519",Sciences,10,N/A,N/A,N/A,N/A,N/A,57,Eligible,Rejected
JPA Scholarship,UG,21,Other Bumiputera,"RM12,202",Sciences,10,N/A,N/A,N/A,N/A,N/A,95,Not Eligible,Rejected
